historian,period_label,year
Julian Kliemann,Renaissance,2016
Kornél Fabriczy,Renaissance,1892
Kornél Fabriczy,Renaissance,1902
Kornél Fabriczy,Renaissance,1903
Kornél Fabriczy,Renaissance,1907
Kurt Badt,Renaissance,1914
Kurt Badt,Renaissance,1958
Kurt Badt,Renaissance,1959
Kurt Badt,Renaissance,1981
Leo Steinberg,Renaissance,1970
Leo Steinberg,Renaissance,1975
Leo Steinberg,Renaissance,1983
Leo Steinberg,Renaissance,2001
Leo Steinberg,Renaissance,2018
Leo Steinberg,Renaissance,2019
Leo Steinberg,Renaissance,2020
Leo Steinberg research,Renaissance,1945
Leo Steinberg research,Renaissance,1946
Leo Steinberg research,Renaissance,1947
Leo Steinberg research,Renaissance,1948
Leo Steinberg research,Renaissance,1949
Leo Steinberg research,Renaissance,1950
Leo Steinberg research,Renaissance,1951
Leo Steinberg research,Renaissance,1952
Leo Steinberg research,Renaissance,1953
Leo Steinberg research,Renaissance,1954
Leo Steinberg research,Renaissance,1955
Leo Steinberg research,Renaissance,1956
Leo Steinberg research,Renaissance,1957
Leo Steinberg research,Renaissance,1958
Leo Steinberg research,Renaissance,1959
Leo Steinberg research,Renaissance,1960
Leo Steinberg research,Renaissance,1961
Leo Steinberg research,Renaissance,1962
Leo Steinberg research,Renaissance,1963
Leo Steinberg research,Renaissance,1964
Leo Steinberg research,Renaissance,1965
Leo Steinberg research,Renaissance,1966
Leo Steinberg research,Renaissance,1967
Leo Steinberg research,Renaissance,1968
Leo Steinberg research,Renaissance,1969
Leo Steinberg research,Renaissance,1970
Leo Steinberg research,Renaissance,1971
Leo Steinberg research,Renaissance,1972
Leo Steinberg research,Renaissance,1973
Leo Steinberg research,Renaissance,1974
Leo Steinberg research,Renaissance,1975
Leo Steinberg research,Renaissance,1976
Leo Steinberg research,Renaissance,1977
Leo Steinberg research,Renaissance,1978
Leo Steinberg research,Renaissance,1979
Leo Steinberg research,Renaissance,1980
Leo Steinberg research,Renaissance,1981
Leo Steinberg research,Renaissance,1982
Leo Steinberg research,Renaissance,1983
Leo Steinberg research,Renaissance,1984
Leo Steinberg research,Renaissance,1985
Leo Steinberg research,Renaissance,1986
Leo Steinberg research,Renaissance,1987
Leo Steinberg research,Renaissance,1988
Leo Steinberg research,Renaissance,1989
