"subject","subjectLabel","typeOfInterest","interest","interestLabel"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q506483","Sebastiano Ricci"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q504949","Giovanni Battista Moroni"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q15711026","altarpiece"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q346502","Jacopo Bassano"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","http://www.wikidata.org/entity/Q3704610","Dedalo"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q935534","Antonio Vivarini"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q47551","Titian"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeople","https://w3id.org/artchives/MD1598459421174","C. Gamba"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q504949","Giovanni Battista Moroni"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectArtist","http://www.wikidata.org/entity/Q3107030","Giovanni Battista da Ponte"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","https://w3id.org/artchives/hasSubjectPeriod","http://www.wikidata.org/entity/Q37853","baroque"
"https://w3id.org/artchives/collectionnachlass-fritz-heinemann-notizen-zur-venezianischen-malerei","Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","http://www.wikidata.org/prop/direct/P921","http://www.wikidata.org/entity/Q131808","Mannerism"
