subject,subjectLabel,typeOfInterest,interest,interestLabel
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q57656,Erwin Panofsky
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q515,city
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q2044,Florence
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q551282,Wilhelm Lehmbruck
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q588695,The Art of Painting
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q1414089,art theory
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,Clouds in art,
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q55044,Ludwig Maximilian University of Munich
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,Artists' preparatory studies,
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q692100,Alois Riegl
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q9440,Paolo Veronese
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q15989599,Wilhelm Voge
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q50637,art history
http://www.wikidata.org/entity/Q1629748,Kurt Badt,http://www.wikidata.org/prop/direct/P921,http://www.wikidata.org/entity/Q165980,University of Vienna
