historian,period_label,interest,year,publication_title
Everett Fahy,Renaissance,El Greco,1973,The Wrightsman collection
Leo Steinberg,Baroque,San Carlo alle Quattro Fontane,1977,Borromini's San Carlo alle Quattro Fontane : a study in multiple form and architectural symbolism
Wolfgang Lotz,Mannerism,Giacomo Barozzi da Vignola,1973,Mostra di Jacopo Barozzi detto il Vignola
Wolfgang Lotz,Renaissance,Giacomo Barozzi da Vignola,1973,Mostra di Jacopo Barozzi detto il Vignola
Leo Steinberg,Neo-Dada,Jasper Johns,1972,Other criteria : confrontations with twentieth-century art
Wolfgang Lotz,Renaissance,Giacomo Barozzi da Vignola,1938,Vignola-Zeichnungen
Ulrich Middeldorf,Renaissance,Renaissance,2001,Early Renaissance reliefs
Fritz Heinemann,Renaissance,Giovanni Bellini,1959,Giovanni Bellini e i Belliniani
Wolfgang Lotz,16th century,16th century,1995,"Architecture in Italy, 1500-1600"
Federico Zeri,Renaissance,Sacred and Profane Love,2000,"Titian, sacred and profane love"
Gustav Ludwig,Renaissance,Vittore Carpaccio,1881,Vittore Carpaccio: la vita e le opere
Ulrich Middeldorf,14th century,14th century,1976,"Sculptures from the Samuel H. Kress Collection : European schools, XIV-XIX Century"
Leo Steinberg,modern art,Robert Rauschenberg,2000,Encounters with Rauschenberg : (a lavishly illustrated lecture)
Julian Kliemann,Renaissance,Renaissance,2008,Programme et invention dans l'art de la Renaissance
Wolfgang Lotz,Renaissance,Renaissance architecture,1975,Studies in Italian Renaissance architecture
Fritz Heinemann,Renaissance,Titian,1980,La bottega di Tiziano
Richard Krautheimer,Impressionism,Impressionism,1980,"Harald Keller papers, 1930-1989."
Leo Steinberg,modern art,Robert Rauschenberg,2002,Robert Rauschenberg
Leo Steinberg,Neo-Dada,Jasper Johns,1950,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1951,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1952,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1953,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1954,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1955,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1956,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1957,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1958,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1959,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1960,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1961,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1962,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1963,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1964,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1965,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1966,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1967,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1968,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1969,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1970,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1971,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1972,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1973,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1974,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1975,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1976,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1977,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1978,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1979,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1980,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1981,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1982,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1983,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1984,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1985,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1986,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1987,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1988,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1989,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1990,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1991,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1992,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Leo Steinberg,Neo-Dada,Jasper Johns,1993,"Leo Steinberg research papers, 1945-1996 (bulk 1950-1993)."
Richard Krautheimer,Gothic art,Gothic sculpture,1989,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Baroque,Baroque,1944,"Harald Keller papers, 1930-1989."
Ellis Waterhouse,Baroque,Baroque painting,1937,Italian baroque painting
Richard Krautheimer,Baroque,Baroque,1971,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1944,"Harald Keller papers, 1930-1989."
Richard Krautheimer,Gothic art,Gothic sculpture,1971,"Harald Keller papers, 1930-1989."
